id,left_0,left_1,left_2,left_3,left_4,left_5,right_0,right_1,right_2,right_3,right_4,right_5,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5
9,0,0,0,0,0,1,0,0,0,0,12,1,0,0,5,0,9,7
1561,0,0,0,0,2,2,0,0,0,0,6,11,0,0,1,0,3,6
12,0,0,1,0,1,0,0,0,2,0,0,0,0,1,12,0,12,3
3192,0,11,1,0,2,0,0,0,0,0,2,13,0,0,2,0,10,2
2502,0,0,0,0,0,4,0,0,2,0,0,2,0,1,2,0,1,7
2500,0,0,0,0,0,1,0,0,0,0,5,4,0,0,0,0,35,33
146,0,0,0,0,0,1,0,0,1,0,3,10,0,1,9,0,5,20
147,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,8,5
2725,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,5
776,0,0,5,0,7,11,0,0,2,0,35,42,0,0,13,0,43,42
143,0,0,0,0,0,0,0,0,2,0,4,3,0,0,3,0,42,39
141,0,0,0,0,9,2,0,0,8,0,10,2,0,0,3,0,8,15
1270,0,0,0,0,3,9,0,0,0,0,2,5,0,0,1,0,4,3
613,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3
2878,0,0,0,0,0,1,0,0,9,0,1,1,0,0,3,0,3,4
2984,0,0,1,0,0,1,0,0,4,0,5,1,0,0,16,0,9,16
148,0,0,1,0,2,0,0,0,1,0,2,0,0,2,6,0,4,3
3355,0,0,0,0,8,3,0,0,2,0,3,3,0,0,1,0,16,14
2079,0,0,5,0,2,3,0,0,0,0,1,1,0,0,5,0,6,3
3702,0,0,0,0,1,0,0,0,9,0,2,8,0,0,17,0,25,9
1886,0,0,0,0,2,5,0,0,2,0,1,1,0,0,8,0,10,2
484,0,0,0,0,1,2,0,0,0,0,6,5,0,0,0,0,36,10
3359,0,0,0,0,0,1,0,1,7,0,22,15,0,0,0,0,16,13
482,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,12,49
1287,0,0,0,0,1,9,0,1,0,0,5,9,0,1,3,0,24,16
1417,0,0,0,0,0,0,0,0,3,0,6,0,0,0,7,0,15,0
3540,0,0,0,0,0,0,0,0,1,0,0,2,0,0,22,0,9,3
1280,0,0,0,0,0,6,0,0,0,0,1,3,0,0,1,0,10,13
2336,0,0,14,0,3,3,0,0,0,0,3,22,0,0,10,0,13,4
3543,0,0,0,0,0,0,0,0,0,0,13,39,0,0,0,0,15,17
768,0,0,0,0,3,0,0,0,20,0,8,3,0,0,15,0,21,8
2083,0,0,0,0,0,3,0,0,0,0,5,9,0,0,0,0,4,52
1975,0,0,1,0,0,0,0,0,0,0,3,17,0,0,0,0,2,12
1289,0,1,0,0,13,15,0,0,2,0,2,8,0,1,9,0,15,28
2087,0,0,0,0,0,1,0,0,2,0,5,2,0,0,15,0,14,17
1809,0,0,0,0,2,0,0,10,2,0,1,1,0,1,1,0,8,1
433,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4
2401,0,0,0,0,1,0,0,1,10,0,1,0,0,2,34,0,25,1
41,0,0,0,0,0,0,0,0,4,0,11,1,0,0,4,0,15,3
1768,0,0,5,0,5,2,0,0,0,0,0,0,0,0,5,0,2,3
1493,0,0,0,0,0,0,0,3,0,0,8,4,0,1,3,0,13,5
2007,0,0,0,0,0,7,0,0,0,0,1,2,0,1,0,0,2,3
474,0,0,1,0,1,1,0,0,0,0,5,16,0,0,1,0,21,30
2142,0,0,0,0,3,3,0,1,7,0,2,7,0,0,4,0,8,8
1762,0,0,0,0,0,1,0,0,0,0,2,4,0,0,1,0,6,8
2533,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,17,1
1478,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,12,1
479,0,0,0,0,2,0,0,0,1,0,8,5,0,0,3,0,12,19
807,0,1,1,0,0,0,0,0,1,0,12,5,0,2,6,0,16,7
1193,0,0,0,0,0,0,0,1,15,0,2,0,0,0,18,0,34,0
1765,0,0,0,0,2,1,0,0,1,0,2,0,0,1,5,0,16,8
